iso3c,name,matrix
ABW,Aruba,Saint Lucia
AFG,Afghanistan,Tajikistan
AGO,Angola,Congo
AIA,Anguilla,Saint Lucia
ALA,Åland,Finland
ALB,Albania,Albania
AND,Andorra,Andorra
ARE,United Arab Emirates,United Arab Emirates
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ASM,American Samoa,Fiji
ATG,Antigua and Barbuda,Antigua and Barbuda
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BDI,Burundi,Uganda
BEL,Belgium,Belgium
BEN,Benin,Benin
BES,"Bonaire, Sint Eustatius and Saba",Saint Lucia
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgaria
BHR,Bahrain,Bahrain
BHS,Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BLM,Saint-Barthélemy,Saint Lucia
BLR,Belarus,Belarus
BLZ,Belize,Belize
BMU,Bermuda,Canada
BOL,Bolivia,Bolivia (Plurinational State of
BRA,Brazil,Brazil
BRB,Barbados,Saint Lucia
BRN,Brunei,Brunei Darussalam
BTN,Bhutan,Bhutan
BWA,Botswana,Botswana
CAF,Central African Republic,Cameroon
CAN,Canada,Canada
CCK,Cocos Islands,Sri Lanka
CHE,Switzerland,Switzerland
CHL,Chile,Chile
CHN,China,China
CIV,Côte d'Ivoire,Liberia
CMR,Cameroon,Cameroon
COD,Democratic Republic of the Congo,Zambia
COG,Republic of Congo,Congo
COK,Cook Islands,New Zealand
COL,Colombia,Colombia
COM,Comoros,United Republic of Tanzania
CPV,Cape Verde,Cabo Verde
CRI,Costa Rica,Costa Rica
CUB,Cuba,Canada
CUW,Curaçao,Saint Lucia
CXR,Christmas Island,Viet Nam
CYM,Cayman Islands,United States of America
CYP,Cyprus,Cyprus
CZE,Czech Republic,Czech Republic
DEU,Germany,Germany
DJI,Djibouti,Qatar
DMA,Dominica,Haiti
DNK,Denmark,Denmark
DOM,Dominican Republic,Dominican Republic
DZA,Algeria,Algeria
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
ERI,Eritrea,Yemen
ESH,Western Sahara,Cabo Verde
ESP,Spain,Spain
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
FIN,Finland,Finland
FJI,Fiji,Fiji
FLK,Falkland Islands,Uruguay
FRA,France,France
FRO,Faroe Islands,Iceland
FSM,Micronesia,Kiribati
GAB,Gabon,Sao Tome and Principe 
GBR,United Kingdom,United Kingdom of Great Britain
GEO,Georgia,Georgia
GGY,Guernsey,France
GHA,Ghana,Ghana
GIB,Gibraltar,Ireland
GIN,Guinea,Guinea
GLP,Guadeloupe,Saint Lucia
GMB,Gambia,Senegal
GNB,Guinea-Bissau,Guinea
GNQ,Equatorial Guinea,Sao Tome and Principe 
GRC,Greece,Greece
GRD,Grenada,Venezuela (Bolivarian Republic 
GRL,Greenland,Iceland
GTM,Guatemala,Guatemala
GUF,French Guiana,Guyana
GUM,Guam,Viet Nam
GUY,Guyana,Guyana
HKG,Hong Kong,"Hong Kong SAR, China"
HND,Honduras,Honduras
HRV,Croatia,Croatia
HTI,Haiti,Haiti
HUN,Hungary,Hungary
IDN,Indonesia,Indonesia
IMN,Isle of Man,United Kingdom of Great Britain
IND,India,India
IRL,Ireland,Ireland
IRN,Iran,Iran (Islamic Republic of)
IRQ,Iraq,Iraq
ISL,Iceland,Iceland
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JEY,Jersey,United Kingdom of Great Britain
JOR,Jordan,Jordan
JPN,Japan,Japan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KGZ,Kyrgyzstan,Kyrgyzstan
KHM,Cambodia,Cambodia
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,Saint Lucia
KOR,South Korea,Republic of Korea
KWT,Kuwait,Kuwait
LAO,Laos,Lao People's Democratic Republi
LBN,Lebanon,Lebanon
LBR,Liberia,Liberia
LBY,Libya,Algeria
LCA,Saint Lucia,Saint Lucia
LIE,Liechtenstein,Switzerland
LKA,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesotho
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
LVA,Latvia,Latvia
MAC,Macao,China
MAF,Saint-Martin,Antigua and Barbuda
MAR,Morocco,Morocco
MCO,Monaco,Monaco
MDA,Moldova,Montenegro
MDG,Madagascar,Mozambique
MDV,Maldives,Maldives
MEX,Mexico,Mexico
MHL,Marshall Islands,Kiribati
MKD,Macedonia,TFYR of Macedonia
MLI,Mali,Burkina Faso
MLT,Malta,Malta
MMR,Myanmar,Malaysia
MNE,Montenegro,Montenegro
MNG,Mongolia,Mongolia
MNP,Northern Mariana Islands,Viet Nam
MOZ,Mozambique,Mozambique
MRT,Mauritania,Mauritania
MSR,Montserrat,Antigua and Barbuda
MTQ,Martinique,Saint Lucia
MUS,Mauritius,Mauritius
MWI,Malawi,Mozambique
MYS,Malaysia,Malaysia
MYT,Mayotte,Kenya
NAM,Namibia,Namibia
NCL,New Caledonia,Fiji
NER,Niger,Niger
NFK,Norfolk Island,New Zealand
NGA,Nigeria,Nigeria
NIC,Nicaragua,Nicaragua
NIU,Niue,Fiji
NLD,Netherlands,Netherlands
NOR,Norway,Sweden
NPL,Nepal,Nepal
NRU,Nauru,Kiribati
NZL,New Zealand,New Zealand
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PAN,Panama,Panama
PER,Peru,Peru
PHL,Philippines,Philippines
PLW,Palau,China
PNG,Papua New Guinea,Vanuatu
POL,Poland,Poland
PRI,Puerto Rico,Saint Lucia
PRK,North Korea,China
PRT,Portugal,Portugal
PRY,Paraguay,Paraguay
PSE,Palestina,Jordan
PYF,French Polynesia,Fiji
QAT,Qatar,Qatar
REU,Reunion,Mauritius
ROU,Romania,Romania
RUS,Russia,Russian Federation
RWA,Rwanda,Rwanda
SAU,Saudi Arabia,Saudi Arabia
SDN,Sudan,Ethiopia
SEN,Senegal,Senegal
SGP,Singapore,Singapore
SHN,Saint Helena,Malta
SJM,Svalbard and Jan Mayen,Kazakhstan
SLB,Solomon Islands,Solomon Islands
SLE,Sierra Leone,Sierra Leone
SLV,El Salvador,El Salvador
SMR,San Marino,Slovenia
SOM,Somalia,Ethiopia
SPM,Saint Pierre and Miquelon,Canada
SRB,Serbia,Serbia
SSD,South Sudan,Ethiopia
STP,São Tomé and Príncipe,Sao Tome and Principe 
SUR,Suriname,Suriname
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SWE,Sweden,Sweden
SWZ,Swaziland,Lesotho
SXM,Sint Maarten,Saint Lucia
SYC,Seychelles,Seychelles
SYR,Syria,Syrian Arab Republic
TCA,Turks and Caicos Islands,Dominican Republic
TCD,Chad,Cameroon
TGO,Togo,Benin
THA,Thailand,Thailand
TJK,Tajikistan,Tajikistan
TKL,Tokelau,Fiji
TKM,Turkmenistan,Uzbekistan
TLS,Timor-Leste,Timor-Leste
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Saint Lucia
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TUV,Tuvalu,Fiji
TWN,Taiwan,Taiwan
TZA,Tanzania,United Republic of Tanzania
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
URY,Uruguay,Uruguay
USA,United States,United States of America
UZB,Uzbekistan,Uzbekistan
VAT,Vatican City,Serbia
VCT,Saint Vincent and the Grenadines,Antigua and Barbuda
VEN,Venezuela,Venezuela (Bolivarian Republic 
VGB,British Virgin Islands,Saint Lucia
VIR,"Virgin Islands, U.S.",Saint Lucia
VNM,Vietnam,Viet Nam
VUT,Vanuatu,Vanuatu
WLF,Wallis and Futuna,Fiji
WSM,Samoa,Samoa
XAD,Akrotiri and Dhekelia,Cyprus
XCA,Caspian Sea,Azerbaijan
XKO,Kosovo,Turkey
XNC,Northern Cyprus,Cyprus
XPI,Paracel Islands,Viet Nam
YEM,Yemen,Yemen
ZAF,South Africa,South Africa
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
